sku,Product Code,Product Name,Cost Price,Retail Price
104504088,104504088,50x40mmx88 PVC Reducing Junction SCJ,11.18,62.13
1045045,1045045,50mmx45 PVC Plain Junction,5.33,24.54
1045045UPEC,1045045UPEC,Box of 123 x 1045045 UPEC Junctions,655.59,3018.42
104505,104505,"7"" Internal Pipe Cutter - Saw Blade With Guide",78.82,102.37
1045088,1045088,50mmx88 PVC Plain Junction,8.41,31.16
1045088UPEC,1045088UPEC,Box of 140 x 1045088 UPEC Junctions,1177.4,4362.4
1045088W,1045088W,50mmx88 PVC Inspection Junction,15.21,38.02
1046545,1046545,65mmx45 PVC Plain Junction,9.6,30.67
1046545UPEC,1046545UPEC,Box of 70 x 1046545 UPEC Junctions,672,2146.9
1046588,1046588,65mmx88 PVC Plain Junction,13.24,50.91
1046588UPEC,1046588UPEC,Box of 72 x 1046588 UPEC Junctions,953.28,3665.52
1046588W,1046588W,65mmx88 PVC Inspection Junction,14.92,37.3
1048045,1048045,80mmx45 PVC Plain Junction,18.96,47.41
1048045UPEC,1048045UPEC,Box of 34 x 1048045 UPEC Junctions,644.64,1611.94
104805045,104805045,80x50mmx45 PVC Reducing Junction SCJ,32.57,81.43
1048088,1048088,80mmx88 PVC Plain Junction,12.84,36.68
1048088UPEC,1048088UPEC,Box of 44 x 1048088 UPEC Junctions,564.96,1613.92
1048088W,1048088W,80mmx88 PVC Inspection Junction,30.88,77.2
1051-44,1051-44,100mm Plumbqwik Coupler 1051-44/D151-44,30.33,39.91
1051-66,1051-66,150mm Plumbqwik F/Cmnt Combo Coup 1051-66/D151-66,49.52,82.53
10510045LH,10510045LH,100mmx45 PVC SMALL Inspection Junction LH SCJ,10.36,55.47
10510045LHBIG,10510045LHBIG,100mmx45 PVC BIG Inspection Junction LH SCJ,19.32,61.34
10510045RH,10510045RH,100mmx45 PVC SMALL Inspection Junction RH SCJ,10.36,55.47
10510045RHBIG,10510045RHBIG,100mmx45 PVC BIG Inspection Junction RH SCJ,19.32,61.34
10510088,10510088,100mmx88 PVC Access Junction SCJ,19.52,95.34
105291,105291,"1/2""  Grohe Euro Tap (Supertub Assembly) Washer",2.94,3.82
1056-1010,1056-1010,250mm Plumbquik Coupler (250-281mm) D156-1010,125.72,209.53
1056-125,1056-125,40mm Plumbqwik (37-49mm) D156-125/AC040PPB,12.71,16.72
1056-22,1056-22,50mm Plumbqwik Coupler 1056-22/D156-22/AC050PPB,17.56,23.1
1056-32,1056-32,80-50mm Plumbqwik Coupler 1056-32/D156-32,22.63,29.78
1056-33,1056-33,80mm Plumbqwik Coupler 1056-33/D156-33/AC080PPB,15.22,20.03
1056-42,1056-42,100x50mm Plumbqwik Combo Coupler 1056-42/D156-42,41.43,54.51
1056-43,1056-43,110x80mm Plumbqwik Red Coupler 1056-43/D156-43,11.6,36.84
1056-44,1056-44,100mm Plumbqwik Coupler 1056-44/D156-44/AC100PPB,8.16,20.18
1056-49,1056-49,100x90mm Plumbqwik Red Coupler Aztec AC10090SW,25.47,33.51
1056-64,1056-64,160x110mm Plumbqwik Red Coupler 1056-64/D156-64,48.36,63.63
1056-66,1056-66,150mmPlumbqwik Combo Coupler D156-66/AC150PPB,50.45,66.38
1056-88,1056-88,200mm Plumbqwik Combo Coupler 1056-88/D156-88,76.01,126.69
1058088,1058088,80mmx88 PVC Access Junction,29.96,74.9
1060-22,1060-22,65mm Plumbqwik Coupler 1060-22/D160-22/AC065PPB,20.35,26.77
1060-WG,1060-WG,1200 St Michel Riva Classic Wall Vanity W/Grain DB,1414.71,1571.9
10610088,10610088,100mm PVC Double Junction SCJ,52.26,130.65
1062A-0,1062A-0,1800 Englefield Studio II Bath Double (No Frame),581.4,646
1062A-ABCP5-0,1062A-ABCP5-0,1800 Englefield Studio II Spa Bath Dble (ABC Pump),2871.29,3190.32
1062A-DEFP5-0,1062A-DEFP5-0,1800 Englefield Studio II Spa Bath Dble (DEF Pump),2871.29,3190.32
1063A-0,1063A-0,1670 Englefield Studio II Bath (No Frame),405.64,450.71
1063A-ABCP5-0,1063A-ABCP5-0,1670 Englefield Studio II Spa Bath (ABC Pump),2563.55,2848.39
1064A-0,1064A-0,1670 Englefield Duo II Bath (No Frame),370.73,411.92
1064E,1064E,"Kemper Professional Welder Gun 7/16"" Connection",168.88,281.47
1064EKIT,1064EKIT,Kemper Burner Kit inc 2xBottle & Welder Head,257.84,429.73
1066.91,1066.91,Duravit Happy D/Starck 2 Toilet Seat,291.81,324.23
1067A-0,1067A-0,1520 Englefield Duo II Bath (No Frame),370.73,411.92
107146,107146,Grohe 15mm Supertub Assembly - VDAPT07,28.5,35.63
1071559,1071559,Englefield Milano Soft Close Seat Toggle ONLY,27.44,34.3
1071A-0,1071A-0,1670 Englefield Valencia Bath (No Frame),307.71,341.9
1071A-GAB-0,1071A-GAB-0,1670 Englefield Valencia Air Massage Bath,1262.2,1402.44
1072A-0,1072A-0,1520 Englefield Valencia Bath (No Frame),307.71,341.9
1072A-GAB-0,1072A-GAB-0,1520 Englefield Valencia Air Massage Bath,1165,1294.44
1073A-0,1073A-0,1670 Englefield Sorrento II Bath (No Frame),237.08,296.35
1073A-0 WASTE,1073A-0 WASTE,1670 Sorrento II Bath and Waste,362.25,362.25
1073A-ABCP2-0,1073A-ABCP2-0,1670 Englefield Sorrento II Spa Bath (ABC Pump),1669.93,1855.48
1075A-0,1075A-0,1500 Englefield Sorrento II Cnr Bath (No Frame),773.83,859.81
